nombre,marca,categoria,unidad,proveedor,precio_pack,formato
Aceite de Girasol,Natura,Aceites y vinagres,L,Don Vitto,14719.85,5
Aceite de Oliva SIN TACC,Olivares del Sol,Aceites y vinagres,L,Don Vitto,11508,2
Rocio vegetal Natura,Natura,Aceites y vinagres,unid.,Mili Ana,43002.05,12
Vinagre de manzana,Menoyo,Aceites y vinagres,L,Don Vitto,53782.2,12
Azucar impalpable,PROCAL,Azucares y endulzantes,kg,,11046.44,4
Azucar Mascabo,Ledesma,Azucares y endulzantes,kg,,42185,25
Azucar SIN TACC,Ledesma,Azucares y endulzantes,kg,,10119.9,10
Edulcorante en sobre,Ledesma,Azucares y endulzantes,unid.,,15596,400
Edulcorante Stevia,Ledesma,Azucares y endulzantes,unid.,,9504,400
7 up lata 354 cc,,Bebidas para la venta,unid.,,25957.44,24
Agua c/gas x 500cc,,Bebidas para la venta,unid.,,15443.88,12
Agua s/gas x 500cc,,Bebidas para la venta,unid.,,14623.32,12
Aperol Botella 750cc,,Bebidas para la venta,unid.,,40746.06,6
Bolsa de hielo x 10kg.,,Bebidas para la venta,kg,,3305,10
Cynar Botella 750cc,,Bebidas para la venta,unid.,,35362.86,6
Dos Makilas Chardonnay,,Bebidas para la venta,unid.,,39000,6
Huelga de amores Malbec Reserva,,Bebidas para la venta,unid.,,42000,6
La Iride Chardonnay Dulce,,Bebidas para la venta,unid.,,39000,6
La Iride Malbec Rose Dulce,,Bebidas para la venta,unid.,,42000,6
Marco Zunino Malbec Cerezo,,Bebidas para la venta,unid.,,63000,6
Michelob Sin Tacc x473cc,,Bebidas para la venta,unid.,,46000,24
Mirinda lata 354 cc,,Bebidas para la venta,unid.,,26080.8,24
Paso de los toros Pomelo 2.250,,Bebidas para la venta,unid.,,24796.16,8
Paso de los toros pomelo lata,,Bebidas para la venta,unid.,,18371.04,24
Paso de los toros Tonica 1.500,,Bebidas para la venta,unid.,,18596.64,6
Paso de los toros tonica lata,,Bebidas para la venta,unid.,,13494.96,24
Pepsi lata 354 cc,,Bebidas para la venta,unid.,,25880.16,24
Pepsi light lata 354 cc,,Bebidas para la venta,unid.,,24578.4,24
Vermu Feriado,,Bebidas para la venta,unid.,,52800,6
Ricota,,Lacteos y quesos,kg,,2205.87,1
Cafe en grano,Kapselmaker,"Cafe, Ingredientes para cafeteria",kg,,111170.59,2.8
Soda Sifon 2L,Benedictino,"Cafe, Ingredientes para cafeteria",unid.,,8926.32,6
Bondiola,,"Carnes, embutidos y pescados",kg,,9845,1
Carne molida,,"Carnes, embutidos y pescados",kg,,9800,1
Chorizo,,"Carnes, embutidos y pescados",kg,,7632.67,1
Cuadril,,"Carnes, embutidos y pescados",kg,,17195,1
Jamon cocido Sin TACC,,"Carnes, embutidos y pescados",kg,,112443.39,9
Lomo,,"Carnes, embutidos y pescados",kg,,21000,1
Osobuco,,"Carnes, embutidos y pescados",kg,,8234,1
Panceta,,"Carnes, embutidos y pescados",kg,,16000,1
Pata muslo,,"Carnes, embutidos y pescados",kg,,3900,1
Roast Beef,,"Carnes, embutidos y pescados",kg,,15394,1
Suprema de pollo,,"Carnes, embutidos y pescados",kg,,6036.2,1
Aceitunas,,"Condimentos, agregados y aderezos",kg,,1413.55,0.18
Aji molido,,"Condimentos, agregados y aderezos",kg,,9513.22,1
Ajo granulado,,"Condimentos, agregados y aderezos",kg,,11313.02,1
Albahaca seca,,"Condimentos, agregados y aderezos",kg,,9271.02,1
Almendras,,"Condimentos, agregados y aderezos",kg,,20418.75,1
Canela en polvo,,"Condimentos, agregados y aderezos",kg,,17835,1
Chia triturada,,"Condimentos, agregados y aderezos",kg,,14952.67,1
Curcuma,,"Condimentos, agregados y aderezos",kg,,9672,1
Esencia Vainilla SIN TACC,,"Condimentos, agregados y aderezos",L,,14681.22,3
Laurel en hojas secas,,"Condimentos, agregados y aderezos",kg,,10600,1
Mix Semillas,,"Condimentos, agregados y aderezos",kg,,2164.67,1
Mostaza,,"Condimentos, agregados y aderezos",kg,,2299.48,1
Nuez moscada,,"Condimentos, agregados y aderezos",kg,,19050,1
Oregano,,"Condimentos, agregados y aderezos",kg,,15418.2,1
Pimenton Dulce,,"Condimentos, agregados y aderezos",kg,,10172.25,1
Pimienta Negra,,"Condimentos, agregados y aderezos",kg,,16589.46,1
Polenta,,"Condimentos, agregados y aderezos",kg,,1798.27,1
Romero seco,,"Condimentos, agregados y aderezos",kg,,9500,1
Sal fina en sobre,Dos Anclas,"Condimentos, agregados y aderezos",unid.,,10990,1000
Sal fina SIN TACC,Dos Anclas,"Condimentos, agregados y aderezos",kg,,1502.79,1
Sal gruesa SIN TACC,Dos Anclas,"Condimentos, agregados y aderezos",kg,,1411.29,1
Semillas de sesamo,,"Condimentos, agregados y aderezos",kg,,10416.28,1
Tomillo,,"Condimentos, agregados y aderezos",kg,,9800,1
