nombre,marca,categoria,unidad,proveedor,precio_pack,formato
Aceite de Girasol,Natura,Aceites y vinagres,L,Don Vitto,16423.1,5
Aceite de Oliva,Olivares de la costa riojana,Aceites y vinagres,L,Don Vitto,24899.15,5
Vinagre de Alcohol,Marvavic,Aceites y vinagres,L,Don Vitto,5253.15,5
7 Locos La Coja,,Bebidas para venta,unid.,Cleto Almacen de vinos,51000,6
7 Up Lata 354cc,,Bebidas para venta,unid.,CLARG,26837.52,24
Agua con Gas 500cc,Eco de los Andes,Bebidas para venta,unid.,CLARG,15443.88,12
Agua sin Gas 500cc,Eco de los Andes,Bebidas para venta,unid.,CLARG,14435.04,12
Amber Deposito,El perro,Bebidas para venta,L,,167500,50
APA Deposito,El perro,Bebidas para venta,L,,160000,50
Aperol Botella 750cc,,Bebidas para venta,unid.,,40746.06,6
Bolsa de Hielo 10kg,Polo Sur,Bebidas para venta,kg,Polo Sur,4000,10
Campari Botella 750cc,,Bebidas para venta,unid.,,81494.16,12
Cynar Botella 750cc,,Bebidas para venta,unid.,,35362.86,6
Dorada Deposito,El perro,Bebidas para venta,L,,137500,50
Dos Makila Chardonnay,,Bebidas para venta,unid.,Cleto Almacen de vinos,39000,6
Dos Makila Malbec,,Bebidas para venta,unid.,Cleto Almacen de vinos,27000,6
Fernet Branca 750 ml,,Bebidas para venta,unid.,,156776.4,12
Gin botella 750cc,AD Libitum,Bebidas para venta,unid.,AD Libitum,180000,12
H2O Manzana,,Bebidas para venta,unid.,CLARG,20817,6
H2O Pomelo 1.5 L,,Bebidas para venta,unid.,CLARG,43606.44,6
H2O POMELO 500 cc,,Bebidas para venta,unid.,CLARG,36125.28,6
Huelga de Amores Chardonnay Dulce,,Bebidas para venta,unid.,Cleto Almacen de vinos,39000,6
Huelga de Amores Malbec Reserva,,Bebidas para venta,unid.,Cleto Almacen de vinos,42000,6
Jarabe Granadina 1L,,Bebidas para venta,unid.,,64800,12
Jean Rivier Tocai Legendario,,Bebidas para venta,unid.,Cleto Almacen de vinos,25200,6
Kilari Patero,,Bebidas para venta,unid.,Cleto Almacen de vinos,39000,6
La Iride Chardonnay dulce,,Bebidas para venta,unid.,Cleto Almacen de vinos,42000,6
La Iride Malbec Rose Dulce,,Bebidas para venta,unid.,Cleto Almacen de vinos,39000,6
Lote AB Chardonnay,,Bebidas para venta,unid.,Cleto Almacen de vinos,26400,6
Marco Zunino Blend,,Bebidas para venta,unid.,Cleto Almacen de vinos,48900,6
Marco Zunino C. Sauvignon,,Bebidas para venta,unid.,Cleto Almacen de vinos,55800,6
Marco Zunino Malbec Bonarda,,Bebidas para venta,unid.,Cleto Almacen de vinos,33000,6
Marco Zunino Malbec Cerezo,,Bebidas para venta,unid.,Cleto Almacen de vinos,63000,6
Marco Zunino Reserva Malbec,,Bebidas para venta,unid.,Cleto Almacen de vinos,81600,6
Mirinda Lata 354cc,,Bebidas para venta,unid.,CLARG,23415.6,24
Nepa Deposito,,Bebidas para venta,L,,205000,50
Paso de los toros Pomelo 2.250,,Bebidas para venta,unid.,CLARG,20987.84,8
Paso de los Toros Pomelo Lata,,Bebidas para venta,unid.,CLARG,18371.04,24
Paso de los Toros Tonica 1500cc,,Bebidas para venta,unid.,CLARG,13042.14,6
Paso de los Toros Tonica Lata,,Bebidas para venta,unid.,CLARG,18371.04,24
Pepsi Lata 354cc,,Bebidas para venta,unid.,CLARG,26757.6,24
Pepsi Light Lata 350cc,,Bebidas para venta,unid.,CLARG,25226.88,24
Pepsi Light x500cc,,Bebidas para venta,unid.,CLARG,11100.36,6
Pulpa Anana 1kg,,Bebidas para venta,unid.,,99600,12
Pulpa Durazno 1kg,,Bebidas para venta,unid.,,64800,12
Pulpa Mango 1kg,,Bebidas para venta,unid.,,64800,12
Pulpa Maracuya 1kg,,Bebidas para venta,unid.,,84000,12
Session IPA Deposito,,Bebidas para venta,L,,185000,50
Soda sifon,,Bebidas para venta,unid.,,7113.18,6
Vermu Feriado Rojo,,Bebidas para venta,unid.,,52800,6
Vermu Feriado Rosado,,Bebidas para venta,unid.,,52800,6
La Iride Chardonnay (DEPOSITO),,Bebidas para venta,unid.,Cleto Almacen de vinos,42000,6
Bondiola,,"Carnes, embutidos y pescados",kg,FrigoPorc,9397.5,1
Carne Molida,,"Carnes, embutidos y pescados",kg,La Esperanza,13846.15,1
Carre de cerdo,,"Carnes, embutidos y pescados",kg,FrigoPorc,6100,1
Chorizo,,"Carnes, embutidos y pescados",kg,La Esperanza,7088.36,1
Cuadril,,"Carnes, embutidos y pescados",kg,La Esperanza,16900,1
Jamon cocido,,"Carnes, embutidos y pescados",kg,FrigoPorc,44594.03,5.1
Lomo,,"Carnes, embutidos y pescados",kg,La Esperanza,21000,1
Osobuco,,"Carnes, embutidos y pescados",kg,La Esperanza,7000,1
Panceta,,"Carnes, embutidos y pescados",kg,FrigoPorc,57000,3
Pata muslo,,"Carnes, embutidos y pescados",kg,La Esperanza,4296,1
Roast Beef,,"Carnes, embutidos y pescados",kg,La Esperanza,14860.04,1
Suprema de Pollo,,"Carnes, embutidos y pescados",kg,Santa Ana,93665.16,15
Surubi,,"Carnes, embutidos y pescados",kg,,13999.99,1
Vacio,,"Carnes, embutidos y pescados",kg,La Esperanza,22000,1
Colita de cuadril,,"Carnes, embutidos y pescados",kg,La Esperanza,17460,1
Vacio de cerdo,,"Carnes, embutidos y pescados",kg,FrigoPorc,8502.5,1
Guanciale,,"Carnes, embutidos y pescados",kg,,9000,1
Aji Molido,Almacen de condimentos,"Condimentos, agregados y aderezos",kg,Almacen de condimentos,6200,1
Ajo en Polvo,La Virginia,"Condimentos, agregados y aderezos",kg,La Virginia,4700,1
Ajo granulado,La Virginia,"Condimentos, agregados y aderezos",kg,La Virginia,9800,1
Albahaca Seca,Almacen de condimentos,"Condimentos, agregados y aderezos",kg,Almacen de condimentos,9500,1
Azucar,Cristo,"Condimentos, agregados y aderezos",kg,Biasoni,10000,10
Bicarbonato de sodio,,"Condimentos, agregados y aderezos",kg,Almacen de condimentos,4500,1
Botella de Miel,,"Condimentos, agregados y aderezos",unid.,El Eden,7500,1
Caja de Caldos,Molto,"Condimentos, agregados y aderezos",unid.,,772,6
Canela en polvo,Almacen de condimentos,"Condimentos, agregados y aderezos",kg,Almacen de condimentos,5600,1
Cerveza lata (cocina),Quilmes,"Condimentos, agregados y aderezos",unid.,CLARG,71035.2,24
Colorante carbon vegetal,PastelAR,"Condimentos, agregados y aderezos",kg,Nardelli,96696.6,0.9
Curcuma,Almacen de condimentos,"Condimentos, agregados y aderezos",kg,Almacen de condimentos,6600,1
Eneldo,Almacen de condimentos,"Condimentos, agregados y aderezos",kg,Almacen de condimentos,12000,1
Ketchup,Natura,"Condimentos, agregados y aderezos",kg,Don Vitto,42688.08,12
Laurel en Hoja Seco,Almacen de condimentos,"Condimentos, agregados y aderezos",kg,Almacen de condimentos,10600,1
Mostaza,Natura,"Condimentos, agregados y aderezos",kg,Don Vitto,23432.1,12
Nuez Moscada,La Virginia,"Condimentos, agregados y aderezos",kg,La Virginia,156073.36,4
Oregano,Almacen de condimentos,"Condimentos, agregados y aderezos",kg,La Virginia,6600,1
Pimenton Dulce,La Virginia,"Condimentos, agregados y aderezos",kg,La Virginia,40961.52,4
Pimienta blanca,,"Condimentos, agregados y aderezos",kg,La Virginia,6300,4
Pimienta Negra,La Virginia,"Condimentos, agregados y aderezos",kg,La Virginia,75647.92,4
Pimienta Negra en grano,Almacen de condimentos,"Condimentos, agregados y aderezos",kg,La Virginia,20000,1
Romero seco,Almacen de condimentos,"Condimentos, agregados y aderezos",kg,Almacen de condimentos,9500,1
Sal entrefina,Tresal,"Condimentos, agregados y aderezos",kg,Biasoni,11125,25
Sal Fina,Tresal,"Condimentos, agregados y aderezos",kg,Biasoni,12635,25
Salsa Barbacoa,,"Condimentos, agregados y aderezos",kg,Mili Ana,44988.99,12
Tomillo,Almacen de condimentos,"Condimentos, agregados y aderezos",kg,Almacen de condimentos,9800,2
Vino Blanco x ud.(COCINA),Jean Rivier,"Condimentos, agregados y aderezos",unid.,Cleto Almacen de vinos,26100,6
Vino Tinto x ud.(COCINA),Jean Rivier,"Condimentos, agregados y aderezos",unid.,Cleto Almacen de vinos,26100,6
Bandeja Aluminio F275,Resipack,Costos de empaque directos,unid.,RESIPACK,161.07,1
